field,type,example
process_elf_sections,nested,
process_elf_sections_chi2,long,
process_elf_sections_entropy,long,
process_elf_sections_flags,keyword,
process_elf_sections_name,keyword,
process_elf_sections_physical_offset,keyword,
process_elf_sections_physical_size,long,
process_elf_sections_type,keyword,
process_elf_sections_var_entropy,long,
process_elf_sections_virtual_address,long,
process_elf_sections_virtual_size,long,
process_elf_segments,nested,
process_elf_segments_sections,keyword,
process_elf_segments_type,keyword,
process_elf_shared_libraries,keyword,
process_elf_telfhash,keyword,
process_end,date,2016-05-23T08:05:34.853Z
process_entity_id,keyword,c2c455d9f99375d
process_entry_leader_args,keyword,"[""/usr/bin/ssh"", ""-l"", ""user"", ""10.0.0.16""]"
process_entry_leader_args_count,long,4
process_entry_leader_attested_groups_name,keyword,
process_entry_leader_attested_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
process_entry_leader_attested_user_name,keyword,a.einstein
process_entry_leader_attested_user_name_text,match_only_text,a.einstein
process_entry_leader_command_line,wildcard,/usr/bin/ssh -l user 10.0.0.16
process_entry_leader_command_line_text,match_only_text,/usr/bin/ssh -l user 10.0.0.16
process_entry_leader_entity_id,keyword,c2c455d9f99375d
process_entry_leader_entry_meta_source_ip,ip,
process_entry_leader_entry_meta_type,keyword,
process_entry_leader_executable,keyword,/usr/bin/ssh
process_entry_leader_executable_text,match_only_text,/usr/bin/ssh
process_entry_leader_group_id,keyword,
process_entry_leader_group_name,keyword,
process_entry_leader_interactive,boolean,True
process_entry_leader_name,keyword,ssh
process_entry_leader_name_text,match_only_text,ssh
process_entry_leader_parent_entity_id,keyword,c2c455d9f99375d
process_entry_leader_parent_pid,long,4242
process_entry_leader_parent_session_leader_entity_id,keyword,c2c455d9f99375d
process_entry_leader_parent_session_leader_pid,long,4242
process_entry_leader_parent_session_leader_start,date,2016-05-23T08:05:34.853Z
process_entry_leader_parent_session_leader_vpid,long,4242
process_entry_leader_parent_start,date,2016-05-23T08:05:34.853Z
process_entry_leader_parent_vpid,long,4242
process_entry_leader_pid,long,4242
process_entry_leader_real_group_id,keyword,
process_entry_leader_real_group_name,keyword,
process_entry_leader_real_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
process_entry_leader_real_user_name,keyword,a.einstein
process_entry_leader_real_user_name_text,match_only_text,a.einstein
process_entry_leader_same_as_process,boolean,True
process_entry_leader_saved_group_id,keyword,
process_entry_leader_saved_group_name,keyword,
